full_text,text_final,skor_sentimen,label
Mari sukseskan Program Makan Bergizi Gratis demi gizi yang lebih baik bagi anak-anak Papua. Program pemerintah yang membawa manfaat nyata!  #MakanBergiziGratis #GenerasiEmas https://t.co/F4pPCWYoYI,sukses program makan gizi gratis gizi anak anak papua program perintah bawa manfaat nyata,6,positif
Makan Bergizi Gratis: Ini 4 Mekanisme Baru Selama Ramadhan! https://t.co/dnpfYHkecL #MakanBergiziGratis,makan gizi gratis mekanisme ramadhan,4,positif
Transformasi Gizi Indonesia: Dari Ibu Hamil Hingga Anak Sekolah Semua Terjamin! 👩‍👦🍱 ​#MakanBergiziGratis #MBG #IndonesiaSehat #KetahananPangan #bjs16516 https://t.co/eDWhfjJRht,transformasi gizi indonesia hamil anak sekolah jamin,-10,negatif
Pemerintah Anggarkan Rp 80 Triliun per Kuartal di 2026 Untuk Program MBG https://t.co/9WeFlOyl3m #MakanBergiziGratis,perintah anggar rp triliun kuartal program mbg,3,positif
BGN yang tegas menutup dapur yang memasok MBG ke sekolah-sekolah yang siswanya mengalami keracunan #MakanBergiziGratis https://t.co/wj6GzywMl2,bgn tutup dapur pasok mbg sekolah sekolah siswa alami racun,4,positif
MUI dukung program MBG melalui ekosistem halal libatkan pesantren #MakanBergiziGratis https://t.co/z9EBbYGaFM,mui dukung program mbg ekosistem halal libat pesantren,4,positif
 &amp; tepat sasaran untuk anak-anak?,amp sasar anak anak,-6,negatif
Kelas jadi makin seru saat MBG datang! Keceriaan ini adalah modal utama menuju Generasi Emas. Semoga suasana positif seperti ini terus ada di setiap sekolah di Indonesia demi anak-anak yang sehat dan berprestasi! ✨🍎 #IndonesiaSehat #MakanBergiziGratis https://t.co/sju81kSxTR,kelas seru mbg ceria modal utama generasi emas moga suasana positif sekolah indonesia anak anak sehat prestasi,5,positif
BGN pastikan MBG Ramadan dirancang tidak cepat basi dan aman hingga 12 jam #MakanBergiziGratis https://t.co/6CDs6hxuqa,bgn pasti mbg ramadan rancang tidak cepat basi aman jam,-7,negatif
 belajar lebih fokus,ajar fokus,-1,negatif
 kurir,kurir,0,netral
Presiden Prabowo menegaskan bahwa MBG merupakan langkah nyata kehadiran negara dalam melawan kelaparan dan kemiskinan #MBG #LanjutkanMBG #makanbergizigratis https://t.co/GwF6SbhSey,presiden prabowo mbg langkah nyata hadir negara lawan lapar miskin,-5,negatif
Kemensos tidak butuh dana lagi untuk perluasan MBG Lansia dan Penyandang Disabilitas #MBG #LanjutkanMBG #makanbergizigratis https://t.co/kHdCB2Q7BI,kemensos tidak butuh dana luas mbg lansia sandang disabilitas,-3,negatif
Program Makan Bergizi Gratis (MBG) sebagai upaya pemerintah meningkatkan gizi sekaligus membantu menstabilkan harga pangan melalui pemanfaatan pangan local #MakanBergiziGratis https://t.co/ZoGwlGSMfT,program makan gizi gratis mbg upaya perintah tingkat gizi bantu stabil harga pangan manfaat pangan local,12,positif
 dan ekonomi rakyat ikut bergerak.;,ekonomi rakyat gerak,0,netral
 dan mengejar cita-cita. ;,kejar cita cita,-3,negatif
MBG berpotensi dorong pembangunan ekonomi dan kualitas kesejahteraan masyarakat #MakanBergiziGratis https://t.co/9cgsfI9h3L,mbg potensi dorong bangun ekonomi kualitas sejahtera masyarakat,7,positif
@Naz_lira Kualitas MBG no debat! 🥇 Ada info harga &amp;,kualitas mbg no debat info harga amp,7,positif
Kebijakan ini menunjukkan komitmen pemerintah membangun sumber daya manusia yang sehat dan unggul #MBG #MakanBergiziGratis https://t.co/R9vyEqfmrN,bijak komitmen perintah bangun sumber daya manusia sehat unggul,5,positif
MBG ditekankan DPR merupakan investasi jangka panjang untuk memperkuat fondasi SDM Indonesia unggul #MakanBergiziGratis https://t.co/4BfcKrKTDb,mbg tekan dpr investasi jangka kuat fondasi sdm indonesia unggul,-1,negatif
